1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0.014,0,0
14,0.0315,0,0
15,0.035,0,0
16,0.035,0,0
17,0.035,0,0
18,0.0455,0,0
19,0.035,0,0
20,0.049,0,0
21,0.042,0,0
22,0.0525,0,0
23,0.07,0,0
24,0.0595,0,0
25,0.056,0,0
26,0.0665,0,0
27,0.0665,0,0
28,0.07,0,0
29,0.0595,0,0
30,0.049,-0.006545,0
31,0.049,0,0
32,0.0455,0,0
33,0.028,-0.006545,0
34,0.056,-0.006545,0
35,0.049,-0.006545,0
36,0.07,-0.019635,0
37,0.0595,-0.01309,0
38,0.056,-0.006545,0
39,0.0525,0,0
40,0.056,0,0
41,0.0665,0,0
42,0.0525,0.01309,0
43,0.0315,0.09163,0
44,0.0105,0.019635,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0.0035,0.01309,0
49,0.0035,0.032725,0
50,0.0035,0.019635,0
51,0,0.045815,0
52,0.0035,0.032725,0
53,0.007,0.05236,0
54,0.0105,0.071995,0
55,0.021,0.098175,0
56,0.0175,0.11781,0
57,0.0245,0.15053,0
58,0.0385,0.19635,0
59,0.0385,0.19635,0
60,0.063,0.1309,0
61,0.0875,-0.032725,0
62,0.1085,-0.032725,0
63,0.098,0,0
64,0.0875,0.03927,0
65,0.0245,0.16363,0
66,0.049,0.03927,0
67,0.063,0,0
68,0.07,0,0
69,0.084,-0.01309,0
70,0.0875,0,0
71,0.0945,0,0
72,0.07,0.09163,0
73,0.0385,0.13745,0
74,0.07,0.16363,0
75,0.0525,0.15708,0
76,0.042,0.16362,0
77,0.0315,0.12436,0
78,0.0175,0.06545,0
79,0.021,0.032725,0
80,0.021,0.019635,0
81,0.028,0.032725,0
82,0.014,0.045815,0
83,0.028,0.11781,0
84,0.028,0.1309,0
85,0.035,0.09163,0
86,0.021,0.058905,0
87,0.0035,0.006545,0
88,0.035,0.006545,0
89,0.0595,0,0
90,0.077,0,0
91,0.063,0.019635,0
92,0.042,0.12435,0
